SampleID,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,C1,C2,D1,D2,C3,D3,D4,D5,D6,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU21,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,4,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured soil bacterium
OTU22,0,0,0,0,5,6,3,0,2,0,0,2,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,unidentified
OTU23,0,0,0,5,0,0,0,2,2,0,2,4,2,0,0,0,0,0,3,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MSB-1E8,uncultured bacterium,uncultured bacterium
OTU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified
OTU25,0,5,2,2,3,3,3,3,2,3,5,2,2,2,2,0,2,5,6,2,Bacteria,Actinobacteria,MB-A2-108,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
OTU26,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured bacterium
OTU27,0,5,2,1,2,5,2,2,3,6,3,3,2,6,1,0,0,2,2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,uncultured bacterium
OTU28,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,Bacteria,Chloroflexi,SJA-15,unidentified,unidentified,unidentified,unidentified
OTU29,0,0,2,2,2,6,2,2,2,2,4,4,0,0,4,4,0,6,3,4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,uncultured bacterium
OTU30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,uncultured bacterium
